agents,solveConicGibbsGreedyDynamicBiased,solveMILP,solveGreedy,solveConicGibbsGreedyDynamic
"[(0, 1, 0.9943652802), (1, 1, 0.9943652802), (2, 1, 0.9948038019), (3, 1, 0.9948038019), (4, 1, 0.996491761), (5, 1, 0.9948038019), (6, 1, 0.9943652802), (7, 1, 0.9943652802), (8, 1, 0.9943652802), (9, 1, 0.9948038019), (10, 1, 0.996491761), (11, 1, 0.9963515927), (12, 1, 0.9943652802), (13, 1, 0.996125417), (14, 1, 0.9943652802), (15, 1, 0.9963515927), (16, 1, 0.9943652802), (17, 1, 0.9948038019), (18, 1, 0.9957071937), (19, 1, 0.996125417), (20, 1, 0.9948038019), (21, 1, 0.996491761), (22, 1, 0.996125417), (23, 1, 0.996491761), (24, 1, 0.9948038019), (25, 1, 0.9943652802), (26, 1, 0.9948038019), (27, 1, 0.996491761), (28, 1, 0.9963515927), (29, 1, 0.9957071937), (30, 1, 0.9948038019), (31, 1, 0.996125417), (32, 1, 0.996125417), (33, 1, 0.9963515927), (34, 1, 0.996491761), (35, 1, 0.9948038019), (36, 1, 0.9943652802), (37, 1, 0.9957071937), (38, 1, 0.996491761), (39, 1, 0.996491761), (40, 1, 0.9948038019), (41, 1, 0.996125417), (42, 1, 0.9943652802), (43, 1, 0.9943652802), (44, 1, 0.9957071937), (45, 1, 0.996125417), (46, 1, 0.996491761), (47, 1, 0.996491761), (48, 1, 0.996491761), (49, 1, 0.9943652802)]",48.56460448241226,47.79571889589895,47.76881151057174,47.65629010882319
"[(0, 1, 0.9948038019), (1, 1, 0.9963515927), (2, 1, 0.9957071937), (3, 1, 0.996125417), (4, 1, 0.996491761), (5, 1, 0.9963515927), (6, 1, 0.9943652802), (7, 1, 0.9943652802), (8, 1, 0.9948038019), (9, 1, 0.996125417), (10, 1, 0.9948038019), (11, 1, 0.9943652802), (12, 1, 0.996491761), (13, 1, 0.9948038019), (14, 1, 0.9943652802), (15, 1, 0.996125417), (16, 1, 0.9943652802), (17, 1, 0.996491761), (18, 1, 0.996491761), (19, 1, 0.9948038019), (20, 1, 0.996125417), (21, 1, 0.9943652802), (22, 1, 0.996125417), (23, 1, 0.996491761), (24, 1, 0.9943652802), (25, 1, 0.9963515927), (26, 1, 0.9948038019), (27, 1, 0.9948038019), (28, 1, 0.9943652802), (29, 1, 0.996125417), (30, 1, 0.996491761), (31, 1, 0.996491761), (32, 1, 0.9943652802), (33, 1, 0.9943652802), (34, 1, 0.996491761), (35, 1, 0.9948038019), (36, 1, 0.996491761), (37, 1, 0.9943652802), (38, 1, 0.996491761), (39, 1, 0.996491761), (40, 1, 0.9943652802), (41, 1, 0.9948038019), (42, 1, 0.996125417), (43, 1, 0.996491761), (44, 1, 0.9943652802), (45, 1, 0.996125417), (46, 1, 0.9948038019), (47, 1, 0.9948038019), (48, 1, 0.9957071937), (49, 1, 0.9943652802)]",48.61817742501498,47.78813671064943,47.76132960684687,47.70479137974562
"[(0, 1, 0.9957071937), (1, 1, 0.996491761), (2, 1, 0.9943652802), (3, 1, 0.9948038019), (4, 1, 0.9943652802), (5, 1, 0.996125417), (6, 1, 0.9943652802), (7, 1, 0.996491761), (8, 1, 0.996491761), (9, 1, 0.9963515927), (10, 1, 0.9963515927), (11, 1, 0.996491761), (12, 1, 0.9948038019), (13, 1, 0.9948038019), (14, 1, 0.996491761), (15, 1, 0.9948038019), (16, 1, 0.9963515927), (17, 1, 0.996125417), (18, 1, 0.9948038019), (19, 1, 0.9963515927), (20, 1, 0.996491761), (21, 1, 0.9943652802), (22, 1, 0.9943652802), (23, 1, 0.9943652802), (24, 1, 0.9948038019), (25, 1, 0.996491761), (26, 1, 0.9963515927), (27, 1, 0.9943652802), (28, 1, 0.9943652802), (29, 1, 0.9943652802), (30, 1, 0.9948038019), (31, 1, 0.996125417), (32, 1, 0.9943652802), (33, 1, 0.9948038019), (34, 1, 0.9948038019), (35, 1, 0.9948038019), (36, 1, 0.996125417), (37, 1, 0.996125417), (38, 1, 0.9943652802), (39, 1, 0.9943652802), (40, 1, 0.996491761), (41, 1, 0.9943652802), (42, 1, 0.9943652802), (43, 1, 0.996125417), (44, 1, 0.9943652802), (45, 1, 0.996125417), (46, 1, 0.9948038019), (47, 1, 0.9948038019), (48, 1, 0.996125417), (49, 1, 0.9943652802)]",48.64910638052163,47.735585330525126,47.70922293110935,47.56252835010466
"[(0, 1, 0.9948038019), (1, 1, 0.996125417), (2, 1, 0.9948038019), (3, 1, 0.9963515927), (4, 1, 0.9948038019), (5, 1, 0.996491761), (6, 1, 0.996491761), (7, 1, 0.9963515927), (8, 1, 0.9948038019), (9, 1, 0.996491761), (10, 1, 0.996491761), (11, 1, 0.996125417), (12, 1, 0.9943652802), (13, 1, 0.996491761), (14, 1, 0.9948038019), (15, 1, 0.9943652802), (16, 1, 0.9943652802), (17, 1, 0.996125417), (18, 1, 0.996125417), (19, 1, 0.9943652802), (20, 1, 0.9948038019), (21, 1, 0.9943652802), (22, 1, 0.9943652802), (23, 1, 0.9948038019), (24, 1, 0.996491761), (25, 1, 0.9948038019), (26, 1, 0.9943652802), (27, 1, 0.9963515927), (28, 1, 0.996125417), (29, 1, 0.9963515927), (30, 1, 0.9963515927), (31, 1, 0.9943652802), (32, 1, 0.9948038019), (33, 1, 0.9948038019), (34, 1, 0.9963515927), (35, 1, 0.9948038019), (36, 1, 0.9948038019), (37, 1, 0.9948038019), (38, 1, 0.9948038019), (39, 1, 0.9943652802), (40, 1, 0.9957071937), (41, 1, 0.9948038019), (42, 1, 0.9943652802), (43, 1, 0.9948038019), (44, 1, 0.9943652802), (45, 1, 0.9963515927), (46, 1, 0.996491761), (47, 1, 0.9957071937), (48, 1, 0.9948038019), (49, 1, 0.9943652802)]",48.61935892419696,47.73657083322183,47.710097917574245,47.559985966360514
"[(0, 1, 0.9963515927), (1, 1, 0.9943652802), (2, 1, 0.996491761), (3, 1, 0.996491761), (4, 1, 0.996491761), (5, 1, 0.9948038019), (6, 1, 0.996125417), (7, 1, 0.9943652802), (8, 1, 0.9963515927), (9, 1, 0.9948038019), (10, 1, 0.9948038019), (11, 1, 0.9943652802), (12, 1, 0.996125417), (13, 1, 0.9943652802), (14, 1, 0.9943652802), (15, 1, 0.9943652802), (16, 1, 0.996125417), (17, 1, 0.9963515927), (18, 1, 0.9948038019), (19, 1, 0.9948038019), (20, 1, 0.996125417), (21, 1, 0.9948038019), (22, 1, 0.996125417), (23, 1, 0.9943652802), (24, 1, 0.9948038019), (25, 1, 0.996125417), (26, 1, 0.9948038019), (27, 1, 0.9943652802), (28, 1, 0.996491761), (29, 1, 0.9948038019), (30, 1, 0.996491761), (31, 1, 0.996125417), (32, 1, 0.996125417), (33, 1, 0.996491761), (34, 1, 0.996125417), (35, 1, 0.9948038019), (36, 1, 0.9948038019), (37, 1, 0.9957071937), (38, 1, 0.9943652802), (39, 1, 0.996491761), (40, 1, 0.9963515927), (41, 1, 0.996125417), (42, 1, 0.9957071937), (43, 1, 0.996125417), (44, 1, 0.9948038019), (45, 1, 0.9948038019), (46, 1, 0.996491761), (47, 1, 0.996125417), (48, 1, 0.9943652802), (49, 1, 0.9943652802)]",48.67627973712541,47.801671034746086,47.77457328504612,47.719937398560006
"[(0, 1, 0.996125417), (1, 1, 0.9948038019), (2, 1, 0.9963515927), (3, 1, 0.9943652802), (4, 1, 0.9963515927), (5, 1, 0.9948038019), (6, 1, 0.996125417), (7, 1, 0.9943652802), (8, 1, 0.9963515927), (9, 1, 0.9943652802), (10, 1, 0.9957071937), (11, 1, 0.9957071937), (12, 1, 0.9943652802), (13, 1, 0.9957071937), (14, 1, 0.9948038019), (15, 1, 0.9943652802), (16, 1, 0.9943652802), (17, 1, 0.996491761), (18, 1, 0.9948038019), (19, 1, 0.996491761), (20, 1, 0.9943652802), (21, 1, 0.9948038019), (22, 1, 0.996491761), (23, 1, 0.996491761), (24, 1, 0.996491761), (25, 1, 0.9963515927), (26, 1, 0.9948038019), (27, 1, 0.9948038019), (28, 1, 0.996491761), (29, 1, 0.9948038019), (30, 1, 0.996125417), (31, 1, 0.996491761), (32, 1, 0.9948038019), (33, 1, 0.996125417), (34, 1, 0.9948038019), (35, 1, 0.9948038019), (36, 1, 0.9948038019), (37, 1, 0.9943652802), (38, 1, 0.9943652802), (39, 1, 0.996491761), (40, 1, 0.996491761), (41, 1, 0.9948038019), (42, 1, 0.9948038019), (43, 1, 0.9963515927), (44, 1, 0.9948038019), (45, 1, 0.9948038019), (46, 1, 0.996491761), (47, 1, 0.9948038019), (48, 1, 0.996491761), (49, 1, 0.9943652802)]",48.592652955587,47.77634757813152,47.74957165455923,47.64285889498478
"[(0, 1, 0.9943652802), (1, 1, 0.996491761), (2, 1, 0.9963515927), (3, 1, 0.9948038019), (4, 1, 0.996491761), (5, 1, 0.9943652802), (6, 1, 0.9948038019), (7, 1, 0.9943652802), (8, 1, 0.9943652802), (9, 1, 0.9943652802), (10, 1, 0.9948038019), (11, 1, 0.9948038019), (12, 1, 0.996491761), (13, 1, 0.9948038019), (14, 1, 0.9948038019), (15, 1, 0.996491761), (16, 1, 0.9943652802), (17, 1, 0.996491761), (18, 1, 0.9963515927), (19, 1, 0.9943652802), (20, 1, 0.996491761), (21, 1, 0.996125417), (22, 1, 0.996125417), (23, 1, 0.9963515927), (24, 1, 0.996491761), (25, 1, 0.9957071937), (26, 1, 0.9943652802), (27, 1, 0.9957071937), (28, 1, 0.9948038019), (29, 1, 0.9943652802), (30, 1, 0.9943652802), (31, 1, 0.996125417), (32, 1, 0.996125417), (33, 1, 0.9948038019), (34, 1, 0.996491761), (35, 1, 0.9948038019), (36, 1, 0.9963515927), (37, 1, 0.9948038019), (38, 1, 0.9948038019), (39, 1, 0.996491761), (40, 1, 0.9957071937), (41, 1, 0.9948038019), (42, 1, 0.996125417), (43, 1, 0.996125417), (44, 1, 0.9943652802), (45, 1, 0.996125417), (46, 1, 0.9963515927), (47, 1, 0.9948038019), (48, 1, 0.9963515927), (49, 1, 0.996125417)]",48.70535661966007,47.80553740557451,47.77847396737693,47.5756810031496
"[(0, 1, 0.9963515927), (1, 1, 0.9943652802), (2, 1, 0.996125417), (3, 1, 0.9948038019), (4, 1, 0.9948038019), (5, 1, 0.9943652802), (6, 1, 0.9948038019), (7, 1, 0.9943652802), (8, 1, 0.9943652802), (9, 1, 0.9948038019), (10, 1, 0.9943652802), (11, 1, 0.996125417), (12, 1, 0.996491761), (13, 1, 0.9963515927), (14, 1, 0.9948038019), (15, 1, 0.9948038019), (16, 1, 0.9963515927), (17, 1, 0.9943652802), (18, 1, 0.996125417), (19, 1, 0.996491761), (20, 1, 0.996125417), (21, 1, 0.996491761), (22, 1, 0.996491761), (23, 1, 0.996491761), (24, 1, 0.9943652802), (25, 1, 0.996125417), (26, 1, 0.9948038019), (27, 1, 0.9963515927), (28, 1, 0.9943652802), (29, 1, 0.9948038019), (30, 1, 0.9943652802), (31, 1, 0.9948038019), (32, 1, 0.9948038019), (33, 1, 0.9963515927), (34, 1, 0.9943652802), (35, 1, 0.9943652802), (36, 1, 0.9948038019), (37, 1, 0.996491761), (38, 1, 0.9943652802), (39, 1, 0.996491761), (40, 1, 0.996125417), (41, 1, 0.9943652802), (42, 1, 0.9948038019), (43, 1, 0.9943652802), (44, 1, 0.996491761), (45, 1, 0.9943652802), (46, 1, 0.9948038019), (47, 1, 0.996491761), (48, 1, 0.9943652802), (49, 1, 0.9948038019)]",48.51193613709739,47.71761479628536,47.69152406303542,47.63300274043863
"[(0, 1, 0.996125417), (1, 1, 0.9948038019), (2, 1, 0.996125417), (3, 1, 0.9948038019), (4, 1, 0.996491761), (5, 1, 0.9943652802), (6, 1, 0.9943652802), (7, 1, 0.9948038019), (8, 1, 0.996491761), (9, 1, 0.996125417), (10, 1, 0.9957071937), (11, 1, 0.9948038019), (12, 1, 0.9943652802), (13, 1, 0.9943652802), (14, 1, 0.9957071937), (15, 1, 0.996125417), (16, 1, 0.9948038019), (17, 1, 0.9963515927), (18, 1, 0.9943652802), (19, 1, 0.9948038019), (20, 1, 0.9948038019), (21, 1, 0.9943652802), (22, 1, 0.9943652802), (23, 1, 0.9957071937), (24, 1, 0.9948038019), (25, 1, 0.9948038019), (26, 1, 0.9948038019), (27, 1, 0.996491761), (28, 1, 0.9948038019), (29, 1, 0.996125417), (30, 1, 0.996125417), (31, 1, 0.9948038019), (32, 1, 0.9943652802), (33, 1, 0.9963515927), (34, 1, 0.996125417), (35, 1, 0.996491761), (36, 1, 0.996491761), (37, 1, 0.9948038019), (38, 1, 0.9948038019), (39, 1, 0.9943652802), (40, 1, 0.9948038019), (41, 1, 0.9943652802), (42, 1, 0.9948038019), (43, 1, 0.9943652802), (44, 1, 0.9957071937), (45, 1, 0.9943652802), (46, 1, 0.9943652802), (47, 1, 0.996491761), (48, 1, 0.996491761), (49, 1, 0.9943652802)]",48.39666018028392,47.69630740015198,47.67008624316233,47.65140026636463
"[(0, 1, 0.9957071937), (1, 1, 0.9948038019), (2, 1, 0.996125417), (3, 1, 0.9943652802), (4, 1, 0.9943652802), (5, 1, 0.9943652802), (6, 1, 0.996125417), (7, 1, 0.9963515927), (8, 1, 0.996125417), (9, 1, 0.9943652802), (10, 1, 0.996125417), (11, 1, 0.996491761), (12, 1, 0.9963515927), (13, 1, 0.9943652802), (14, 1, 0.996491761), (15, 1, 0.9948038019), (16, 1, 0.996491761), (17, 1, 0.996491761), (18, 1, 0.9948038019), (19, 1, 0.996125417), (20, 1, 0.9948038019), (21, 1, 0.996125417), (22, 1, 0.9948038019), (23, 1, 0.9948038019), (24, 1, 0.996491761), (25, 1, 0.9948038019), (26, 1, 0.9943652802), (27, 1, 0.9943652802), (28, 1, 0.9943652802), (29, 1, 0.996491761), (30, 1, 0.9963515927), (31, 1, 0.996125417), (32, 1, 0.996491761), (33, 1, 0.996125417), (34, 1, 0.996491761), (35, 1, 0.9957071937), (36, 1, 0.9948038019), (37, 1, 0.996491761), (38, 1, 0.996491761), (39, 1, 0.996491761), (40, 1, 0.9943652802), (41, 1, 0.996491761), (42, 1, 0.9948038019), (43, 1, 0.996125417), (44, 1, 0.9948038019), (45, 1, 0.9957071937), (46, 1, 0.9963515927), (47, 1, 0.9943652802), (48, 1, 0.9948038019), (49, 1, 0.9948038019)]",48.61870677686116,47.8415743092322,47.81432146740001,47.537730578910356
