agents,solveConicGibbsGreedyDynamicBiased,solveMILP,solveGreedy,solveConicGibbsGreedyDynamic
"[(0, 1, 0.996491761), (1, 1, 0.9963515927), (2, 1, 0.996491761), (3, 1, 0.996125417), (4, 1, 0.9943652802), (5, 1, 0.9948038019), (6, 1, 0.996491761), (7, 1, 0.9948038019), (8, 1, 0.996491761), (9, 1, 0.996125417), (10, 1, 0.996491761), (11, 1, 0.996491761), (12, 1, 0.9963515927), (13, 1, 0.9957071937), (14, 1, 0.9948038019), (15, 1, 0.996491761), (16, 1, 0.996125417), (17, 1, 0.9948038019), (18, 1, 0.9963515927), (19, 1, 0.996491761), (20, 1, 0.9943652802), (21, 1, 0.9943652802), (22, 1, 0.996491761), (23, 1, 0.996125417), (24, 1, 0.996125417), (25, 1, 0.9948038019), (26, 1, 0.9943652802), (27, 1, 0.996491761), (28, 1, 0.9943652802), (29, 1, 0.9948038019), (30, 1, 0.9948038019), (31, 1, 0.996491761), (32, 1, 0.996125417), (33, 1, 0.996491761), (34, 1, 0.996125417), (35, 1, 0.996491761), (36, 1, 0.9957071937), (37, 1, 0.9957071937), (38, 1, 0.9943652802), (39, 1, 0.9948038019), (40, 1, 0.9957071937), (41, 1, 0.996491761), (42, 1, 0.996125417), (43, 1, 0.996491761), (44, 1, 0.996491761), (45, 1, 0.9963515927), (46, 1, 0.9948038019), (47, 1, 0.9948038019), (48, 1, 0.9957071937), (49, 1, 0.9948038019)]",49.53516980533775,48.95515869976478,48.93867555699398,48.803737469956594
"[(0, 1, 0.996491761), (1, 1, 0.9948038019), (2, 1, 0.996125417), (3, 1, 0.9948038019), (4, 1, 0.996491761), (5, 1, 0.9943652802), (6, 1, 0.9957071937), (7, 1, 0.996491761), (8, 1, 0.9963515927), (9, 1, 0.996125417), (10, 1, 0.9948038019), (11, 1, 0.996491761), (12, 1, 0.996125417), (13, 1, 0.9948038019), (14, 1, 0.996125417), (15, 1, 0.9943652802), (16, 1, 0.9963515927), (17, 1, 0.996125417), (18, 1, 0.9943652802), (19, 1, 0.996125417), (20, 1, 0.9948038019), (21, 1, 0.996491761), (22, 1, 0.9957071937), (23, 1, 0.9963515927), (24, 1, 0.9948038019), (25, 1, 0.9943652802), (26, 1, 0.9948038019), (27, 1, 0.9943652802), (28, 1, 0.9943652802), (29, 1, 0.9943652802), (30, 1, 0.9948038019), (31, 1, 0.996125417), (32, 1, 0.996491761), (33, 1, 0.9948038019), (34, 1, 0.9948038019), (35, 1, 0.9948038019), (36, 1, 0.9943652802), (37, 1, 0.9943652802), (38, 1, 0.9948038019), (39, 1, 0.9943652802), (40, 1, 0.996491761), (41, 1, 0.996491761), (42, 1, 0.996125417), (43, 1, 0.996491761), (44, 1, 0.9943652802), (45, 1, 0.9948038019), (46, 1, 0.9943652802), (47, 1, 0.9943652802), (48, 1, 0.996125417), (49, 1, 0.9948038019)]",49.433621875356245,48.86843201172776,48.85118624036156,48.76157858746875
"[(0, 1, 0.9943652802), (1, 1, 0.996491761), (2, 1, 0.996125417), (3, 1, 0.9948038019), (4, 1, 0.9943652802), (5, 1, 0.9943652802), (6, 1, 0.9943652802), (7, 1, 0.9948038019), (8, 1, 0.9957071937), (9, 1, 0.9948038019), (10, 1, 0.996125417), (11, 1, 0.996491761), (12, 1, 0.9943652802), (13, 1, 0.9948038019), (14, 1, 0.9948038019), (15, 1, 0.9957071937), (16, 1, 0.9963515927), (17, 1, 0.996491761), (18, 1, 0.9948038019), (19, 1, 0.996491761), (20, 1, 0.9943652802), (21, 1, 0.996491761), (22, 1, 0.996491761), (23, 1, 0.9948038019), (24, 1, 0.9948038019), (25, 1, 0.9948038019), (26, 1, 0.9948038019), (27, 1, 0.9963515927), (28, 1, 0.9943652802), (29, 1, 0.996491761), (30, 1, 0.9948038019), (31, 1, 0.996491761), (32, 1, 0.996491761), (33, 1, 0.9943652802), (34, 1, 0.9963515927), (35, 1, 0.996491761), (36, 1, 0.9963515927), (37, 1, 0.9948038019), (38, 1, 0.996125417), (39, 1, 0.996125417), (40, 1, 0.9948038019), (41, 1, 0.9948038019), (42, 1, 0.9948038019), (43, 1, 0.9943652802), (44, 1, 0.9948038019), (45, 1, 0.9963515927), (46, 1, 0.996125417), (47, 1, 0.9963515927), (48, 1, 0.9948038019), (49, 1, 0.9948038019)]",49.42555711678874,48.88205547704193,48.86491631012323,48.800937525187244
"[(0, 1, 0.9943652802), (1, 1, 0.9943652802), (2, 1, 0.9948038019), (3, 1, 0.9957071937), (4, 1, 0.996125417), (5, 1, 0.9948038019), (6, 1, 0.9943652802), (7, 1, 0.9948038019), (8, 1, 0.9943652802), (9, 1, 0.9948038019), (10, 1, 0.9943652802), (11, 1, 0.9948038019), (12, 1, 0.9948038019), (13, 1, 0.9943652802), (14, 1, 0.9948038019), (15, 1, 0.9943652802), (16, 1, 0.996125417), (17, 1, 0.996491761), (18, 1, 0.996491761), (19, 1, 0.996125417), (20, 1, 0.996491761), (21, 1, 0.9943652802), (22, 1, 0.9948038019), (23, 1, 0.996491761), (24, 1, 0.9943652802), (25, 1, 0.996491761), (26, 1, 0.9943652802), (27, 1, 0.9963515927), (28, 1, 0.9943652802), (29, 1, 0.9963515927), (30, 1, 0.996491761), (31, 1, 0.9943652802), (32, 1, 0.9948038019), (33, 1, 0.9948038019), (34, 1, 0.9963515927), (35, 1, 0.9943652802), (36, 1, 0.9943652802), (37, 1, 0.996491761), (38, 1, 0.9943652802), (39, 1, 0.996491761), (40, 1, 0.9948038019), (41, 1, 0.9948038019), (42, 1, 0.996125417), (43, 1, 0.9943652802), (44, 1, 0.9943652802), (45, 1, 0.9963515927), (46, 1, 0.9963515927), (47, 1, 0.996125417), (48, 1, 0.9948038019), (49, 1, 0.996491761)]",49.36058060288673,48.84482926869897,48.82743834240644,48.65216217331188
"[(0, 1, 0.9943652802), (1, 1, 0.9943652802), (2, 1, 0.9948038019), (3, 1, 0.996125417), (4, 1, 0.9948038019), (5, 1, 0.9943652802), (6, 1, 0.9948038019), (7, 1, 0.9948038019), (8, 1, 0.996491761), (9, 1, 0.9943652802), (10, 1, 0.9943652802), (11, 1, 0.9943652802), (12, 1, 0.9948038019), (13, 1, 0.9948038019), (14, 1, 0.996491761), (15, 1, 0.9963515927), (16, 1, 0.9943652802), (17, 1, 0.996491761), (18, 1, 0.9948038019), (19, 1, 0.9943652802), (20, 1, 0.9948038019), (21, 1, 0.9943652802), (22, 1, 0.9948038019), (23, 1, 0.9948038019), (24, 1, 0.996125417), (25, 1, 0.996125417), (26, 1, 0.9948038019), (27, 1, 0.9948038019), (28, 1, 0.9948038019), (29, 1, 0.9943652802), (30, 1, 0.9948038019), (31, 1, 0.9943652802), (32, 1, 0.9948038019), (33, 1, 0.996125417), (34, 1, 0.9943652802), (35, 1, 0.9948038019), (36, 1, 0.996125417), (37, 1, 0.9957071937), (38, 1, 0.996125417), (39, 1, 0.9943652802), (40, 1, 0.9948038019), (41, 1, 0.9963515927), (42, 1, 0.9948038019), (43, 1, 0.9943652802), (44, 1, 0.996125417), (45, 1, 0.996125417), (46, 1, 0.996125417), (47, 1, 0.9948038019), (48, 1, 0.996491761), (49, 1, 0.9943652802)]",49.40769902803007,48.81117143278939,48.79340380638589,48.71852161489858
"[(0, 1, 0.9943652802), (1, 1, 0.9943652802), (2, 1, 0.9943652802), (3, 1, 0.9948038019), (4, 1, 0.996491761), (5, 1, 0.9948038019), (6, 1, 0.9948038019), (7, 1, 0.996125417), (8, 1, 0.9957071937), (9, 1, 0.9963515927), (10, 1, 0.9943652802), (11, 1, 0.996491761), (12, 1, 0.9963515927), (13, 1, 0.996491761), (14, 1, 0.996125417), (15, 1, 0.9943652802), (16, 1, 0.9948038019), (17, 1, 0.996491761), (18, 1, 0.9943652802), (19, 1, 0.9963515927), (20, 1, 0.996491761), (21, 1, 0.9943652802), (22, 1, 0.9943652802), (23, 1, 0.996491761), (24, 1, 0.996125417), (25, 1, 0.9943652802), (26, 1, 0.9948038019), (27, 1, 0.9948038019), (28, 1, 0.9943652802), (29, 1, 0.9948038019), (30, 1, 0.9943652802), (31, 1, 0.9943652802), (32, 1, 0.996491761), (33, 1, 0.996125417), (34, 1, 0.9948038019), (35, 1, 0.996491761), (36, 1, 0.9943652802), (37, 1, 0.996491761), (38, 1, 0.996491761), (39, 1, 0.9943652802), (40, 1, 0.996491761), (41, 1, 0.9963515927), (42, 1, 0.996125417), (43, 1, 0.996491761), (44, 1, 0.9948038019), (45, 1, 0.996125417), (46, 1, 0.9957071937), (47, 1, 0.9943652802), (48, 1, 0.9948038019), (49, 1, 0.9963515927)]",49.440271802482606,48.88456559964954,48.86753332468759,48.79907494928847
"[(0, 1, 0.9943652802), (1, 1, 0.9943652802), (2, 1, 0.996125417), (3, 1, 0.9963515927), (4, 1, 0.9957071937), (5, 1, 0.996125417), (6, 1, 0.9943652802), (7, 1, 0.9963515927), (8, 1, 0.9943652802), (9, 1, 0.996125417), (10, 1, 0.9948038019), (11, 1, 0.996125417), (12, 1, 0.9943652802), (13, 1, 0.9963515927), (14, 1, 0.996125417), (15, 1, 0.9943652802), (16, 1, 0.996491761), (17, 1, 0.9943652802), (18, 1, 0.996125417), (19, 1, 0.996491761), (20, 1, 0.996491761), (21, 1, 0.9943652802), (22, 1, 0.9943652802), (23, 1, 0.9957071937), (24, 1, 0.996125417), (25, 1, 0.996491761), (26, 1, 0.9963515927), (27, 1, 0.9948038019), (28, 1, 0.9943652802), (29, 1, 0.9943652802), (30, 1, 0.9943652802), (31, 1, 0.9948038019), (32, 1, 0.996491761), (33, 1, 0.9957071937), (34, 1, 0.9948038019), (35, 1, 0.9943652802), (36, 1, 0.9948038019), (37, 1, 0.9943652802), (38, 1, 0.996491761), (39, 1, 0.996491761), (40, 1, 0.9957071937), (41, 1, 0.996125417), (42, 1, 0.996125417), (43, 1, 0.996125417), (44, 1, 0.9948038019), (45, 1, 0.9943652802), (46, 1, 0.996125417), (47, 1, 0.996125417), (48, 1, 0.9948038019), (49, 1, 0.9943652802)]",49.377816748276295,48.88121814298786,48.86409968053375,48.81309617756076
"[(0, 1, 0.996125417), (1, 1, 0.9943652802), (2, 1, 0.9943652802), (3, 1, 0.9948038019), (4, 1, 0.996491761), (5, 1, 0.996491761), (6, 1, 0.9963515927), (7, 1, 0.9943652802), (8, 1, 0.996125417), (9, 1, 0.996491761), (10, 1, 0.9943652802), (11, 1, 0.996125417), (12, 1, 0.996125417), (13, 1, 0.9943652802), (14, 1, 0.9943652802), (15, 1, 0.996125417), (16, 1, 0.9948038019), (17, 1, 0.996125417), (18, 1, 0.9948038019), (19, 1, 0.9957071937), (20, 1, 0.9957071937), (21, 1, 0.996491761), (22, 1, 0.9948038019), (23, 1, 0.9943652802), (24, 1, 0.9957071937), (25, 1, 0.996125417), (26, 1, 0.996125417), (27, 1, 0.996125417), (28, 1, 0.996491761), (29, 1, 0.9943652802), (30, 1, 0.9963515927), (31, 1, 0.9943652802), (32, 1, 0.9948038019), (33, 1, 0.9943652802), (34, 1, 0.9943652802), (35, 1, 0.996125417), (36, 1, 0.996125417), (37, 1, 0.9943652802), (38, 1, 0.9943652802), (39, 1, 0.9943652802), (40, 1, 0.996491761), (41, 1, 0.996491761), (42, 1, 0.996491761), (43, 1, 0.9948038019), (44, 1, 0.9943652802), (45, 1, 0.996125417), (46, 1, 0.996125417), (47, 1, 0.996125417), (48, 1, 0.996491761), (49, 1, 0.996491761)]",49.50031089393091,48.9013942994303,48.88447142321342,48.84301097950273
"[(0, 1, 0.9943652802), (1, 1, 0.9943652802), (2, 1, 0.9948038019), (3, 1, 0.9948038019), (4, 1, 0.996125417), (5, 1, 0.996491761), (6, 1, 0.9943652802), (7, 1, 0.9957071937), (8, 1, 0.996125417), (9, 1, 0.996125417), (10, 1, 0.9948038019), (11, 1, 0.9948038019), (12, 1, 0.996125417), (13, 1, 0.9963515927), (14, 1, 0.9943652802), (15, 1, 0.9948038019), (16, 1, 0.9963515927), (17, 1, 0.996125417), (18, 1, 0.996491761), (19, 1, 0.9943652802), (20, 1, 0.996125417), (21, 1, 0.996491761), (22, 1, 0.996125417), (23, 1, 0.9963515927), (24, 1, 0.9943652802), (25, 1, 0.9948038019), (26, 1, 0.9948038019), (27, 1, 0.9943652802), (28, 1, 0.996125417), (29, 1, 0.9963515927), (30, 1, 0.9948038019), (31, 1, 0.996125417), (32, 1, 0.9943652802), (33, 1, 0.9943652802), (34, 1, 0.996491761), (35, 1, 0.9943652802), (36, 1, 0.9943652802), (37, 1, 0.9948038019), (38, 1, 0.9948038019), (39, 1, 0.9963515927), (40, 1, 0.9948038019), (41, 1, 0.996491761), (42, 1, 0.9943652802), (43, 1, 0.9948038019), (44, 1, 0.996491761), (45, 1, 0.9943652802), (46, 1, 0.9943652802), (47, 1, 0.9948038019), (48, 1, 0.9963515927), (49, 1, 0.9948038019)]",49.38968816201029,48.859855074436105,48.84253538526316,48.813333920213694
"[(0, 1, 0.9948038019), (1, 1, 0.9948038019), (2, 1, 0.9943652802), (3, 1, 0.9943652802), (4, 1, 0.996491761), (5, 1, 0.9943652802), (6, 1, 0.9963515927), (7, 1, 0.9943652802), (8, 1, 0.996125417), (9, 1, 0.996125417), (10, 1, 0.9948038019), (11, 1, 0.9943652802), (12, 1, 0.9943652802), (13, 1, 0.9948038019), (14, 1, 0.9948038019), (15, 1, 0.9943652802), (16, 1, 0.996125417), (17, 1, 0.9943652802), (18, 1, 0.996125417), (19, 1, 0.9943652802), (20, 1, 0.9943652802), (21, 1, 0.996125417), (22, 1, 0.996491761), (23, 1, 0.996125417), (24, 1, 0.9948038019), (25, 1, 0.996491761), (26, 1, 0.9943652802), (27, 1, 0.9943652802), (28, 1, 0.996491761), (29, 1, 0.9963515927), (30, 1, 0.996491761), (31, 1, 0.996491761), (32, 1, 0.9948038019), (33, 1, 0.9948038019), (34, 1, 0.9948038019), (35, 1, 0.9943652802), (36, 1, 0.9943652802), (37, 1, 0.9963515927), (38, 1, 0.9943652802), (39, 1, 0.9948038019), (40, 1, 0.9963515927), (41, 1, 0.9943652802), (42, 1, 0.9948038019), (43, 1, 0.9948038019), (44, 1, 0.9957071937), (45, 1, 0.9943652802), (46, 1, 0.9943652802), (47, 1, 0.9943652802), (48, 1, 0.9943652802), (49, 1, 0.996491761)]",49.41023585332167,48.820897694888735,48.80328256349782,48.71261842136255
