agents,solveMILP,solveSeqRLBucket,solveConicGibbsGreedyDynamic
"[(0, 1, 0.7794456685302135), (1, 1, 0.126492235933788), (2, 1, 0.2723347356652087), (3, 1, 0.9526591451086486), (4, 1, 0.8644896337198805), (5, 1, 0.3539732963707978), (6, 1, 0.570515563619841), (7, 1, 0.608468905353143), (8, 1, 0.683553830401188), (9, 1, 0.28625538651508886), (10, 1, 0.03363687419537886), (11, 1, 0.170222357560048), (12, 1, 0.2676613838063562), (13, 1, 0.7326302479721345), (14, 1, 0.12114921780283694), (15, 1, 0.9526292993825475), (16, 1, 0.8628489349441382), (17, 1, 0.9221853736945811), (18, 1, 0.2861052326506599), (19, 1, 0.7227484077944318), (20, 1, 0.9396237454915357), (21, 1, 0.6169602590068131), (22, 1, 0.9877827190603046), (23, 1, 0.48993168394853803), (24, 1, 0.19805492563078486), (25, 1, 0.7832749440502847), (26, 1, 0.2732020755680846), (27, 1, 0.6296781916416779), (28, 1, 0.43356400109028326), (29, 1, 0.8074789505675549), (30, 1, 0.5097792182488857), (31, 1, 0.9998051579475389), (32, 1, 0.08253710229324074), (33, 1, 0.5179105158511886), (34, 1, 0.8874996211065188), (35, 1, 0.0721937953896401), (36, 1, 0.45653211161356655), (37, 1, 0.10008846530693183), (38, 1, 0.09550812435590028), (39, 1, 0.810464426376252), (40, 1, 0.1622703295413741), (41, 1, 0.6593448853189189), (42, 1, 0.7457746114212965), (43, 1, 0.2768866165634831), (44, 1, 0.832794303797892), (45, 1, 0.14923275883234433), (46, 1, 0.5398394203600548), (47, 1, 0.8410616473252743), (48, 1, 0.9471619438519666), (49, 1, 0.04923968665131939)]",12,5,17.0
"[(0, 1, 0.5686865501322442), (1, 1, 0.2170627799974808), (2, 1, 0.3360240669403204), (3, 1, 0.5418972671268578), (4, 1, 0.1733450962809916), (5, 1, 0.9850110546964936), (6, 1, 0.12204897773413415), (7, 1, 0.18753612757550875), (8, 1, 0.1677735645817079), (9, 1, 0.5670943546643603), (10, 1, 0.7281230127365607), (11, 1, 0.0361292638849261), (12, 1, 0.7522648832073514), (13, 1, 0.8548516698572735), (14, 1, 0.4723305176415197), (15, 1, 0.20414278729518964), (16, 1, 0.39846530448096573), (17, 1, 0.05478714373046267), (18, 1, 0.7893711081595818), (19, 1, 0.6900973931536196), (20, 1, 0.3421497144915272), (21, 1, 0.4106039085329264), (22, 1, 0.8738099317294865), (23, 1, 0.11169562494050023), (24, 1, 0.9086776578753748), (25, 1, 0.38099223328793597), (26, 1, 0.40660366007743076), (27, 1, 0.9670501957336621), (28, 1, 0.11200960679306926), (29, 1, 0.8409321557604104), (30, 1, 0.44541558728038344), (31, 1, 0.7670336482211279), (32, 1, 0.22407397645325666), (33, 1, 0.2551421164852412), (34, 1, 0.5606943999659013), (35, 1, 0.8855232574473828), (36, 1, 0.581775987649974), (37, 1, 0.32524064319156964), (38, 1, 0.9044598361438332), (39, 1, 0.5407897665907483), (40, 1, 0.20057350774497107), (41, 1, 0.5090831397492656), (42, 1, 0.8455435996822015), (43, 1, 0.7100638085988527), (44, 1, 0.48016152201459417), (45, 1, 0.5490285673756394), (46, 1, 0.748841367331344), (47, 1, 0.8245912963022076), (48, 1, 0.8912439312649486), (49, 1, 0.5162006297435092)]",4,5,12.0
"[(0, 1, 0.6428456809805719), (1, 1, 0.849472051068259), (2, 1, 0.026733057254684778), (3, 1, 0.35261976161109454), (4, 1, 0.5598123198052765), (5, 1, 0.8233741727850837), (6, 1, 0.7611522530850414), (7, 1, 0.8959405573216044), (8, 1, 0.0799325767003145), (9, 1, 0.37786994654622885), (10, 1, 0.7418456212049142), (11, 1, 0.23054756818525146), (12, 1, 0.28216491355389417), (13, 1, 0.8365790646975174), (14, 1, 0.23134920990989138), (15, 1, 0.3665367642232996), (16, 1, 0.755836505157104), (17, 1, 0.938573796869617), (18, 1, 0.6733782894100038), (19, 1, 0.8282321998254832), (20, 1, 0.97058088979464), (21, 1, 0.5653258173297995), (22, 1, 0.8337585497077866), (23, 1, 0.4707913174385694), (24, 1, 0.11148857624091535), (25, 1, 0.6261831045014609), (26, 1, 0.43016264634493384), (27, 1, 0.3130511500586576), (28, 1, 0.9245396027936643), (29, 1, 0.5374332448264899), (30, 1, 0.18255459337798863), (31, 1, 0.3524477815475283), (32, 1, 0.9463403995162857), (33, 1, 0.31998529535221876), (34, 1, 0.8237788257285901), (35, 1, 0.27798917685965263), (36, 1, 0.1658203986320489), (37, 1, 0.3445245189960553), (38, 1, 0.3784606699265287), (39, 1, 0.47384950645301827), (40, 1, 0.03113790447670106), (41, 1, 0.4725450865058466), (42, 1, 0.35240565334366514), (43, 1, 0.8774865951611952), (44, 1, 0.7011531186923083), (45, 1, 0.6904742356874859), (46, 1, 0.45744553712816094), (47, 1, 0.4062434448342839), (48, 1, 0.6463026918572662), (49, 1, 0.40982303854702384)]",13,5,9.0
"[(0, 1, 0.2896782321380349), (1, 1, 0.4443093833189814), (2, 1, 0.3744590386283463), (3, 1, 0.6564829824232643), (4, 1, 0.1346400463876689), (5, 1, 0.7419302139292271), (6, 1, 0.7519605382369723), (7, 1, 0.9280577919562168), (8, 1, 0.10752115269622198), (9, 1, 0.45422989281369586), (10, 1, 0.13380946514163483), (11, 1, 0.02242108351008265), (12, 1, 0.08075184507484612), (13, 1, 0.7185406065229201), (14, 1, 0.21364337061536698), (15, 1, 0.7162550839227063), (16, 1, 0.6543302613217984), (17, 1, 0.8789839833722649), (18, 1, 0.5107356769625712), (19, 1, 0.6033132844741816), (20, 1, 0.004441895574761823), (21, 1, 0.4373433917323275), (22, 1, 0.4167962723457219), (23, 1, 0.9285879615291642), (24, 1, 0.5822850680782443), (25, 1, 0.4381656825346707), (26, 1, 0.7795526763848505), (27, 1, 0.8379432693913802), (28, 1, 0.1518763564241833), (29, 1, 0.448300388372455), (30, 1, 0.8520698940217795), (31, 1, 0.6417783134106868), (32, 1, 0.274479801165874), (33, 1, 0.10927047641390197), (34, 1, 0.13082526023030172), (35, 1, 0.5660588564109026), (36, 1, 0.7039944224551229), (37, 1, 0.40199041399765734), (38, 1, 0.523863766341751), (39, 1, 0.9791186006514224), (40, 1, 0.35391821046751015), (41, 1, 0.05711157090287777), (42, 1, 0.258726518582834), (43, 1, 0.8460164788594419), (44, 1, 0.9040452711674238), (45, 1, 0.7725374434864796), (46, 1, 0.09574514683035174), (47, 1, 0.9574379053907257), (48, 1, 0.5164293648669239), (49, 1, 0.7914840283324691)]",3,5,3.0
"[(0, 1, 0.4012865995805208), (1, 1, 0.9347247040673479), (2, 1, 0.7652620141989132), (3, 1, 0.5968858954127724), (4, 1, 0.7312473376934756), (5, 1, 0.7201452068435521), (6, 1, 0.2839938778798896), (7, 1, 0.37407918783281846), (8, 1, 0.6724492220732863), (9, 1, 0.9566768056503778), (10, 1, 0.3809427165023169), (11, 1, 0.4622028846347084), (12, 1, 0.35930038157348565), (13, 1, 0.9646396049772222), (14, 1, 0.4278092813844838), (15, 1, 0.13189259830438882), (16, 1, 0.6747439023429949), (17, 1, 0.10661654589368053), (18, 1, 0.8173883638325937), (19, 1, 0.20066998748365683), (20, 1, 0.02125182525295788), (21, 1, 0.16498493321806074), (22, 1, 0.297250825598953), (23, 1, 0.4595674918990966), (24, 1, 0.9152745896337025), (25, 1, 0.541038207743233), (26, 1, 0.7180655724634076), (27, 1, 0.6537015556743595), (28, 1, 0.24695691935152986), (29, 1, 0.053186481321808254), (30, 1, 0.2798682964395709), (31, 1, 0.20589690930855242), (32, 1, 0.8164830330699775), (33, 1, 0.18079696684803903), (34, 1, 0.5857805983573129), (35, 1, 0.9754210559675357), (36, 1, 0.6355504948015349), (37, 1, 0.3088873064551749), (38, 1, 0.7249041499092712), (39, 1, 0.14215682271394636), (40, 1, 0.6515700110385083), (41, 1, 0.9669411432259357), (42, 1, 0.8939382332154867), (43, 1, 0.10092500124792891), (44, 1, 0.31241625480143764), (45, 1, 0.9102758005410744), (46, 1, 0.377143772163834), (47, 1, 0.5559190045558239), (48, 1, 0.14277642804035517), (49, 1, 0.04415917074152076)]",11,5,15.0
"[(0, 1, 0.2093008855648134), (1, 1, 0.3055661148737915), (2, 1, 0.7510810524743577), (3, 1, 0.2615387538481726), (4, 1, 0.4789769004658543), (5, 1, 0.2588626811689241), (6, 1, 0.890048180958715), (7, 1, 0.23711795721765083), (8, 1, 0.07249640415442216), (9, 1, 0.5149968793002937), (10, 1, 0.2840490213700525), (11, 1, 0.912101876858434), (12, 1, 0.12461001020777429), (13, 1, 0.16261665226455635), (14, 1, 0.04450260909592918), (15, 1, 0.39791658138848207), (16, 1, 0.9302259212931979), (17, 1, 0.11529165954504494), (18, 1, 0.18253114896503786), (19, 1, 0.049529794524377335), (20, 1, 0.28176839305619616), (21, 1, 0.1419687460987984), (22, 1, 0.5018319896660758), (23, 1, 0.8510138408883569), (24, 1, 0.182516716413466), (25, 1, 0.40062975429952996), (26, 1, 0.8833292897955773), (27, 1, 0.8363487516307168), (28, 1, 0.9316426932804677), (29, 1, 0.9806637214088145), (30, 1, 0.6226938160611811), (31, 1, 0.33249134121053214), (32, 1, 0.2474951043246988), (33, 1, 0.7873862414248894), (34, 1, 0.35070793929574595), (35, 1, 0.9492653837808221), (36, 1, 0.23583325598006188), (37, 1, 0.8215136628930264), (38, 1, 0.7995417447438937), (39, 1, 0.847747828914177), (40, 1, 0.562106724141799), (41, 1, 0.7352009230849037), (42, 1, 0.11685906268983148), (43, 1, 0.7613659849306315), (44, 1, 0.5371699643583873), (45, 1, 0.796993044679456), (46, 1, 0.06678611087703845), (47, 1, 0.2884555318872629), (48, 1, 0.6317023474684915), (49, 1, 0.1753302309468926)]",14,5,9.0
"[(0, 1, 0.6564621143165043), (1, 1, 0.43261017321073136), (2, 1, 0.7105491280667526), (3, 1, 0.4449261613363804), (4, 1, 0.4123897711809754), (5, 1, 0.7555727109550789), (6, 1, 0.36750642122691646), (7, 1, 0.044169484717002994), (8, 1, 0.9940109066091972), (9, 1, 0.18910553656574425), (10, 1, 0.5642553411654142), (11, 1, 0.7024454496822965), (12, 1, 0.6983927930016585), (13, 1, 0.22261565879162104), (14, 1, 0.23214698786111354), (15, 1, 0.40166500751588063), (16, 1, 0.05507973250527154), (17, 1, 0.3604126879069274), (18, 1, 0.8278000282068518), (19, 1, 0.5523116357493342), (20, 1, 0.0651263973826719), (21, 1, 0.36301372699813783), (22, 1, 0.4888296919959395), (23, 1, 0.7187904056043577), (24, 1, 0.21942739420538349), (25, 1, 0.9440077621063094), (26, 1, 0.9413750061995579), (27, 1, 0.9864429260762279), (28, 1, 0.12182837692687676), (29, 1, 0.011837047573672765), (30, 1, 0.07450342013328315), (31, 1, 0.06404460398720058), (32, 1, 0.6426073219708223), (33, 1, 0.0602436667759596), (34, 1, 0.40667127316411456), (35, 1, 0.5265648868090985), (36, 1, 0.9396268673496502), (37, 1, 0.4369665016129799), (38, 1, 0.8086297959069156), (39, 1, 0.9023432952959978), (40, 1, 0.4915353282403706), (41, 1, 0.02699418371435236), (42, 1, 0.5765324606786811), (43, 1, 0.680524107406472), (44, 1, 0.30124800559042864), (45, 1, 0.49157285783056226), (46, 1, 0.32185761944562086), (47, 1, 0.30216414693698956), (48, 1, 0.8058043168511894), (49, 1, 0.6161135957098858)]",12,5,11.0
"[(0, 1, 0.7676394087902951), (1, 1, 0.9752780688642012), (2, 1, 0.3282066120836372), (3, 1, 0.9140205953516245), (4, 1, 0.39596869319097283), (5, 1, 0.47446096261954884), (6, 1, 0.28644606275080864), (7, 1, 0.8357136744823532), (8, 1, 0.9777889146289053), (9, 1, 0.46768856085690147), (10, 1, 0.26961906201389385), (11, 1, 0.42555445006541226), (12, 1, 0.2518810169997968), (13, 1, 0.36604435425520154), (14, 1, 0.72398852715164), (15, 1, 0.8979799817460176), (16, 1, 0.7699407022312007), (17, 1, 0.1233207215216352), (18, 1, 0.49446806337310956), (19, 1, 0.9534550267211614), (20, 1, 0.5488683580319113), (21, 1, 0.4759213249798592), (22, 1, 0.18105596433439075), (23, 1, 0.7682944018298008), (24, 1, 0.4748419362105015), (25, 1, 0.7825411681251065), (26, 1, 0.6251251472876164), (27, 1, 0.3555924508080106), (28, 1, 0.07227680354770027), (29, 1, 0.7770170210122951), (30, 1, 0.6919732812784415), (31, 1, 0.5437685788543952), (32, 1, 0.06758280789305116), (33, 1, 0.5277684940140238), (34, 1, 0.49109604198669843), (35, 1, 0.24795575864104225), (36, 1, 0.018411500808899195), (37, 1, 0.9387487769632044), (38, 1, 0.6164901504459253), (39, 1, 0.46376702069509124), (40, 1, 0.06260328360337497), (41, 1, 0.49396304329787233), (42, 1, 0.5843291388206415), (43, 1, 0.044895466148191066), (44, 1, 0.9068018010804443), (45, 1, 0.4913656870417269), (46, 1, 0.2886495568587585), (47, 1, 0.6601003265019938), (48, 1, 0.8031320095280365), (49, 1, 0.7525850493438586)]",8,0,12.0
"[(0, 1, 0.8010443115616735), (1, 1, 0.7305577757301925), (2, 1, 0.33721335239272354), (3, 1, 0.4167842040803049), (4, 1, 0.5258991449670125), (5, 1, 0.260442700235343), (6, 1, 0.9067512229091756), (7, 1, 0.9538951606268805), (8, 1, 0.2531558135349822), (9, 1, 0.11582656989222784), (10, 1, 0.9369106294753774), (11, 1, 0.5549585373945112), (12, 1, 0.055253388965610495), (13, 1, 0.8057016141739742), (14, 1, 0.3101773981618733), (15, 1, 0.43965854878730837), (16, 1, 0.7979948309458927), (17, 1, 0.03495645846127171), (18, 1, 0.6808742407020587), (19, 1, 0.5490800719746204), (20, 1, 0.7303698264549935), (21, 1, 0.7684515709179471), (22, 1, 0.025700153428224626), (23, 1, 0.6810154196268197), (24, 1, 0.782193622146832), (25, 1, 0.17563937273046715), (26, 1, 0.21067308964218845), (27, 1, 0.6444123237429558), (28, 1, 0.5735827593582727), (29, 1, 0.9635479339494591), (30, 1, 0.35289675323794367), (31, 1, 0.7321973682546702), (32, 1, 0.9111760096192802), (33, 1, 0.1107162194177419), (34, 1, 0.9426771050397001), (35, 1, 0.9133456361781436), (36, 1, 0.9923949954486594), (37, 1, 0.27139522122048276), (38, 1, 0.6393393705448782), (39, 1, 0.5278826545021756), (40, 1, 0.3490229583909089), (41, 1, 0.34724300434878996), (42, 1, 0.06181028922777776), (43, 1, 0.18500288683908583), (44, 1, 0.5907846888947417), (45, 1, 0.6718671797523309), (46, 1, 0.15941631007691204), (47, 1, 0.9796909809345798), (48, 1, 0.14737855431048086), (49, 1, 0.9269710420874151)]",9,5,12.0
"[(0, 1, 0.8779868833245786), (1, 1, 0.925428850348543), (2, 1, 0.32154432572243663), (3, 1, 0.7763096460292458), (4, 1, 0.0018913289115505272), (5, 1, 0.9602118634205238), (6, 1, 0.3130437611898773), (7, 1, 0.9822400120139427), (8, 1, 0.43307903497507183), (9, 1, 0.7812050223072565), (10, 1, 0.9384563272709319), (11, 1, 0.5243313469675162), (12, 1, 0.57128998222989), (13, 1, 0.015167832552852145), (14, 1, 0.3000198262533835), (15, 1, 0.07057728210725134), (16, 1, 0.6696782921283364), (17, 1, 0.03300673612327554), (18, 1, 0.7393761139431558), (19, 1, 0.9809159034698147), (20, 1, 0.38616040828769005), (21, 1, 0.3742248698413385), (22, 1, 0.9211415494339593), (23, 1, 0.18574344742442883), (24, 1, 0.9295586805415827), (25, 1, 0.3316832790122215), (26, 1, 0.2994694266731973), (27, 1, 0.7577448864800651), (28, 1, 0.9459768818101704), (29, 1, 0.18247235015362584), (30, 1, 0.6271278244281777), (31, 1, 0.1680740035657079), (32, 1, 0.9883624107990551), (33, 1, 0.8991733679567301), (34, 1, 0.5537629064798902), (35, 1, 0.3846612664190572), (36, 1, 0.362008765203095), (37, 1, 0.26041329510047606), (38, 1, 0.20090507634133836), (39, 1, 0.03711605047624689), (40, 1, 0.5213209242338097), (41, 1, 0.6195331617714224), (42, 1, 0.3829801177612856), (43, 1, 0.6045884827580765), (44, 1, 0.6351308482828789), (45, 1, 0.8928728568391395), (46, 1, 0.0506009577223846), (47, 1, 0.08943724556804655), (48, 1, 0.14700583549745716), (49, 1, 0.895822102737417)]",15,5,12.0
"[(0, 1, 0.6358446246107151), (1, 1, 0.6625615354330938), (2, 1, 0.34282151085743096), (3, 1, 0.08077418925475244), (4, 1, 0.04425204169926911), (5, 1, 0.9762875650129752), (6, 1, 0.9612992281074673), (7, 1, 0.3842535304089608), (8, 1, 0.4704918563460242), (9, 1, 0.8646823488188196), (10, 1, 0.05725400858841523), (11, 1, 0.8625545965175356), (12, 1, 0.7308877864184266), (13, 1, 0.09710325932609876), (14, 1, 0.6650754835135702), (15, 1, 0.7425351045640082), (16, 1, 0.18926129850164974), (17, 1, 0.8533292459739809), (18, 1, 0.22179146745776124), (19, 1, 0.932872234694834), (20, 1, 0.32634241849005796), (21, 1, 0.905953112234255), (22, 1, 0.9429111176990149), (23, 1, 0.4862489492308262), (24, 1, 0.25503546164572644), (25, 1, 0.4174214743321675), (26, 1, 0.2675920267399412), (27, 1, 0.14546773235423194), (28, 1, 0.5151365763357248), (29, 1, 0.9972503298989879), (30, 1, 0.31717919604976796), (31, 1, 0.42198593951171526), (32, 1, 0.8849610394179417), (33, 1, 0.5051037604892052), (34, 1, 0.6046279929574015), (35, 1, 0.46033582066926626), (36, 1, 0.4322401456474063), (37, 1, 0.538567670708009), (38, 1, 0.07996900945359176), (39, 1, 0.4532974130417957), (40, 1, 0.25717206041360796), (41, 1, 0.2760308026584487), (42, 1, 0.48816199676203564), (43, 1, 0.543152565514919), (44, 1, 0.1824976353817751), (45, 1, 0.3536634216911986), (46, 1, 0.23968234772393238), (47, 1, 0.3557107213886973), (48, 1, 0.5085425626292066), (49, 1, 0.33446196276471973)]",6,5,8.0
"[(0, 1, 0.6318999842243301), (1, 1, 0.7336568224273419), (2, 1, 0.00989712675078902), (3, 1, 0.5969456845871789), (4, 1, 0.300468610079749), (5, 1, 0.5836723957289466), (6, 1, 0.6559077447340337), (7, 1, 0.5934084622645506), (8, 1, 0.0028352917800209543), (9, 1, 0.3993491910751633), (10, 1, 0.7790364962623296), (11, 1, 0.02030208227603747), (12, 1, 0.21018402955058568), (13, 1, 0.8109321941773953), (14, 1, 0.6988918726246974), (15, 1, 0.8935672608806142), (16, 1, 0.0766298952026866), (17, 1, 0.26360350984951764), (18, 1, 0.9166213852478551), (19, 1, 0.003649048921566589), (20, 1, 0.47661304964969087), (21, 1, 0.7785023177750043), (22, 1, 0.25785315304916834), (23, 1, 0.003499000598898405), (24, 1, 0.06291171186037747), (25, 1, 0.3212658642886611), (26, 1, 0.6079973100387023), (27, 1, 0.9088096112577315), (28, 1, 0.00614496304972556), (29, 1, 0.6542235447769218), (30, 1, 0.604680635436611), (31, 1, 0.2755644294435742), (32, 1, 0.33440389238943935), (33, 1, 0.6801987181976362), (34, 1, 0.182637514399016), (35, 1, 0.09009936538896346), (36, 1, 0.13509927204486416), (37, 1, 0.40368398011805295), (38, 1, 0.24897147022008304), (39, 1, 0.9360104676740568), (40, 1, 0.6144796822475904), (41, 1, 0.5451804370942106), (42, 1, 0.2465091217810106), (43, 1, 0.7085247310849558), (44, 1, 0.5629376015070314), (45, 1, 0.2839717415030638), (46, 1, 0.5389046669907389), (47, 1, 0.28657383501599476), (48, 1, 0.7820846552731779), (49, 1, 0.2972518843719858)]",12,0,3.0
"[(0, 1, 0.9730409893798759), (1, 1, 0.3386410783309155), (2, 1, 0.5943732400090489), (3, 1, 0.9833180112240503), (4, 1, 0.2979965779825603), (5, 1, 0.6298414387866894), (6, 1, 0.7571041559200523), (7, 1, 0.3595056749728862), (8, 1, 0.49521370835478384), (9, 1, 0.7321619557639324), (10, 1, 0.5476001039208231), (11, 1, 0.3676600229417588), (12, 1, 0.008566896854766304), (13, 1, 0.26153244677022336), (14, 1, 0.028478697258263463), (15, 1, 0.30315873753853706), (16, 1, 0.6128330696131059), (17, 1, 0.5859024794306186), (18, 1, 0.19904770433488572), (19, 1, 0.9920174383777137), (20, 1, 0.9182491402017584), (21, 1, 0.07092312615450447), (22, 1, 0.7937368078569496), (23, 1, 0.6273751808661271), (24, 1, 0.7340807701801936), (25, 1, 0.36012774001976944), (26, 1, 0.08686978668580025), (27, 1, 0.8424945754926403), (28, 1, 0.23981873179591573), (29, 1, 0.9622339724651957), (30, 1, 0.6776138931595749), (31, 1, 0.2053371687551523), (32, 1, 0.8897055472709072), (33, 1, 0.8274194416443631), (34, 1, 0.8971791527857695), (35, 1, 0.6548407680185546), (36, 1, 0.38284974641193337), (37, 1, 0.1609975825895682), (38, 1, 0.8274414764280763), (39, 1, 0.5503775563363068), (40, 1, 0.05253317763794052), (41, 1, 0.7054619966934125), (42, 1, 0.25718530772409065), (43, 1, 0.5375512425572025), (44, 1, 0.5137486630195103), (45, 1, 0.24601339244858444), (46, 1, 0.2014637361003755), (47, 1, 0.3462534112457355), (48, 1, 0.8526245857298114), (49, 1, 0.33675308726787734)]",5,5,13.0
"[(0, 1, 0.858965102703684), (1, 1, 0.4731750466252024), (2, 1, 0.4247789608426832), (3, 1, 0.2653052781240197), (4, 1, 0.9508698096867982), (5, 1, 0.681179816549255), (6, 1, 0.0733227059566306), (7, 1, 0.10263303154518755), (8, 1, 0.6868712653700809), (9, 1, 0.09551145218648327), (10, 1, 0.2957076752299561), (11, 1, 0.7591327209426743), (12, 1, 0.083722287025075), (13, 1, 0.8165154895763577), (14, 1, 0.0024461957823728175), (15, 1, 0.8200864601352723), (16, 1, 0.14659027318571327), (17, 1, 0.11597080241899438), (18, 1, 0.8069807125124562), (19, 1, 0.37663524056678177), (20, 1, 0.9497383742673002), (21, 1, 0.252992609341525), (22, 1, 0.17757730598336086), (23, 1, 0.16515045700597097), (24, 1, 0.7836657009294389), (25, 1, 0.9727570570408157), (26, 1, 0.6561168900483553), (27, 1, 0.5935968554934815), (28, 1, 0.8655488286846397), (29, 1, 0.39331090494277254), (30, 1, 0.8130187391336587), (31, 1, 0.6572121525797839), (32, 1, 0.1647318776379183), (33, 1, 0.8147781183061503), (34, 1, 0.6824671592166207), (35, 1, 0.4513604599249661), (36, 1, 0.5262857471587878), (37, 1, 0.9679313857746547), (38, 1, 0.4773182138832158), (39, 1, 0.7807488998390383), (40, 1, 0.4601771992177729), (41, 1, 0.5366883833564154), (42, 1, 0.4787905349258884), (43, 1, 0.4660216801765116), (44, 1, 0.18973524394337438), (45, 1, 0.3837003582541464), (46, 1, 0.2633040812134446), (47, 1, 0.0016163421828353508), (48, 1, 0.5694030673556038), (49, 1, 0.7583191281629861)]",4,0,13.0
"[(0, 1, 0.5507807852472154), (1, 1, 0.5845292174964467), (2, 1, 0.04149933928816785), (3, 1, 0.06760628676403946), (4, 1, 0.24629479245563857), (5, 1, 0.25709582690373256), (6, 1, 0.6472030452510441), (7, 1, 0.7091827911280553), (8, 1, 0.3050544497954353), (9, 1, 0.37119622839733735), (10, 1, 0.5662161782722891), (11, 1, 0.9106345785521768), (12, 1, 0.9298791353206661), (13, 1, 0.17961457471314413), (14, 1, 0.028354024259467647), (15, 1, 0.15247251475118795), (16, 1, 0.10235753424228689), (17, 1, 0.2352348565666934), (18, 1, 0.5693418976800908), (19, 1, 0.7969335664230816), (20, 1, 0.3746705037331084), (21, 1, 0.6015587856338294), (22, 1, 0.0672308541104657), (23, 1, 0.5198583787451372), (24, 1, 0.46005397138237414), (25, 1, 0.8030967226096216), (26, 1, 0.18982959222746076), (27, 1, 0.877134013573024), (28, 1, 0.13790383742417345), (29, 1, 0.11077962297961863), (30, 1, 0.9126123014632114), (31, 1, 0.2952017982249965), (32, 1, 0.9211982152283708), (33, 1, 0.1447022086790054), (34, 1, 0.14508316878461158), (35, 1, 0.27118415294069664), (36, 1, 0.8390204646176529), (37, 1, 0.5288313546775288), (38, 1, 0.9959133467108529), (39, 1, 0.5650869757029874), (40, 1, 0.2344252622534484), (41, 1, 0.47005450778407676), (42, 1, 0.21536163185542745), (43, 1, 0.10590124851405269), (44, 1, 0.15286234138991517), (45, 1, 0.485875398332797), (46, 1, 0.41367932356536086), (47, 1, 0.9744056203539108), (48, 1, 0.6149621367607161), (49, 1, 0.9273040650279496)]",14,5,10.0
"[(0, 1, 0.876021615013694), (1, 1, 0.34740716710580355), (2, 1, 0.3627379409234823), (3, 1, 0.21332319546209522), (4, 1, 0.04510290209349799), (5, 1, 0.789938710487992), (6, 1, 0.2772984363804565), (7, 1, 0.2532524077077417), (8, 1, 0.5161086904245918), (9, 1, 0.15561166802316706), (10, 1, 0.7676981432497433), (11, 1, 0.1944917481942099), (12, 1, 0.2332578677120406), (13, 1, 0.41379516820241347), (14, 1, 0.9351113310520331), (15, 1, 0.05715361058309054), (16, 1, 0.29696898965480056), (17, 1, 0.04481028739826809), (18, 1, 0.7151891704362263), (19, 1, 0.6482431723034185), (20, 1, 0.9789157365253548), (21, 1, 0.7480476143186182), (22, 1, 0.8946313629474253), (23, 1, 0.23622599137159828), (24, 1, 0.3123796193987822), (25, 1, 0.2632837265060831), (26, 1, 0.9109943726406624), (27, 1, 0.46035585160021186), (28, 1, 0.5721690102244791), (29, 1, 0.4739817062641768), (30, 1, 0.3696867849552803), (31, 1, 0.2714342620888419), (32, 1, 0.23113519892576484), (33, 1, 0.4393651538682909), (34, 1, 0.5231058562749774), (35, 1, 0.20842484785883397), (36, 1, 0.1176141461294985), (37, 1, 0.46565028946534837), (38, 1, 0.25658501317011684), (39, 1, 0.6816737164822677), (40, 1, 0.08766543272144722), (41, 1, 0.44111340872019356), (42, 1, 0.749487662312156), (43, 1, 0.2528572357191957), (44, 1, 0.6165855538758693), (45, 1, 0.35864362106524694), (46, 1, 0.8731034768091227), (47, 1, 0.47089646019076126), (48, 1, 0.5551769126732652), (49, 1, 0.3084719157680672)]",7,5,7.0
