agents,healthStatus,solveConicGibbsGreedyDynamic,PPO_5Bucket_20000000,PPO_5Bucket_50000000,PPO_4Bucket_20000000,solveMILP,PPO_4Bucket_50000000,solveConicGibbsGreedyDynamicCount
"[(0, 3, 0.4231714017214806), (1, 1, 0.01984230289866895), (2, 3, 0.8801859187366325), (3, 2, 0.7485908342842111), (4, 2, 0.9231136658269065), (5, 2, 0.3467420229201408), (6, 3, 0.5583827509819682), (7, 2, 0.088996640785727), (8, 3, 0.5361645260925463), (9, 3, 0.6673791909651169), (10, 1, 0.04756032754950701), (11, 1, 0.25706864365732474), (12, 1, 0.8901113806873423), (13, 2, 0.8386012505138118), (14, 2, 0.7597622054709557), (15, 2, 0.5157727225526857), (16, 2, 0.28464563161466694), (17, 3, 0.9079862752839187), (18, 3, 0.6779355316936149), (19, 3, 0.8185307439797692), (20, 3, 0.9217151951314544), (21, 3, 0.39337551700571327), (22, 1, 0.43572432996474464), (23, 1, 0.2682707754101846), (24, 3, 0.841245795555059), (25, 3, 0.6035230090669855), (26, 3, 0.8458701892851536), (27, 3, 0.5099035563715371), (28, 2, 0.007972220751550907), (29, 3, 0.7518667140990887), (30, 1, 0.9299276233633209), (31, 1, 0.8424352830578496), (32, 2, 0.967050834137105), (33, 2, 0.39058762378231016), (34, 1, 0.8967437639926432), (35, 2, 0.5440678056718397), (36, 1, 0.8298651266880227), (37, 3, 0.4755447322344226), (38, 1, 0.1839767731064117), (39, 2, 0.01125635435032446), (40, 1, 0.8929416048737264), (41, 1, 0.17332083917945373), (42, 2, 0.06986173011007557), (43, 2, 0.17198102287648298), (44, 1, 0.7493824821168561), (45, 3, 0.9780307293541036), (46, 2, 0.5986216135449713), (47, 1, 0.4698011338759479), (48, 3, 0.5910016757763678), (49, 1, 0.06876265012612426)]","[0, 0, 1, 0, 1, 0, 0, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 0, 1, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 1, 0]",23,19,12,24,23,14,0
"[(0, 2, 0.29562736321110505), (1, 2, 0.2915534329282613), (2, 2, 0.7552324956948956), (3, 2, 0.33596420713937725), (4, 3, 0.25665539850165975), (5, 2, 0.8470575800427793), (6, 2, 0.9954882426897199), (7, 3, 0.5461687607529511), (8, 1, 0.700105448408877), (9, 2, 0.5252652169308378), (10, 2, 0.5077047602612923), (11, 1, 0.968113644167432), (12, 2, 0.33184704554980415), (13, 2, 0.2904731032390304), (14, 2, 0.8409978368062603), (15, 3, 0.5077904107236114), (16, 3, 0.12580977920866498), (17, 2, 0.6956872685475647), (18, 1, 0.658659731122334), (19, 1, 0.05036522716410785), (20, 3, 0.8219246164793171), (21, 3, 0.8170841305418611), (22, 3, 0.9036070549572007), (23, 3, 0.7326614930297072), (24, 3, 0.4763691287956592), (25, 1, 0.04123179407540156), (26, 2, 0.725638079269257), (27, 3, 0.9398352495969631), (28, 1, 0.2759953023303322), (29, 3, 0.4213273258523941), (30, 2, 0.8541425369970796), (31, 1, 0.5909688037006482), (32, 3, 0.9928477558471768), (33, 2, 0.4690017106074049), (34, 3, 0.09837257383350895), (35, 2, 0.6381258084701485), (36, 2, 0.1068933418867456), (37, 2, 0.5534222208998306), (38, 2, 0.6591183573391124), (39, 2, 0.23843435926466017), (40, 3, 0.9192332976227574), (41, 3, 0.8913423810785537), (42, 2, 0.3799484375674056), (43, 3, 0.5753186368740998), (44, 3, 0.7492579940427779), (45, 1, 0.28861489501466975), (46, 2, 0.7545099252388767), (47, 3, 0.6514310005933669), (48, 1, 0.9057360541066484), (49, 2, 0.03230729390479492)]","[0, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 1, 1, 0, 1, 1, 1, 1, 0, 0, 1, 1, 0, 1, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 1, 1, 1, 0]",39,30,27,23,37,21,39
"[(0, 3, 0.41208762178546254), (1, 3, 0.7884374136898759), (2, 1, 0.605354471929984), (3, 3, 0.734098699008252), (4, 1, 0.4797375611911451), (5, 1, 0.40118484199759763), (6, 1, 0.2506405767385155), (7, 3, 0.867012951563808), (8, 1, 0.5075979799044569), (9, 2, 0.4868522202287169), (10, 3, 0.8258202289735187), (11, 1, 0.6522582289557034), (12, 2, 0.3455256618769992), (13, 2, 0.6041344859054403), (14, 2, 0.9829474873130236), (15, 1, 0.8511636315646403), (16, 3, 0.4196134631727806), (17, 1, 0.9963070400551003), (18, 1, 0.30604166441357783), (19, 3, 0.9588510795817814), (20, 1, 0.15610849550170114), (21, 3, 0.3466631839253945), (22, 2, 0.3976358442449195), (23, 1, 0.4596037982518423), (24, 2, 0.1280916335952701), (25, 2, 0.805078691934866), (26, 2, 0.010397063110035631), (27, 2, 0.7696136777321491), (28, 3, 0.8092761807211499), (29, 2, 0.55374158309372), (30, 1, 0.03852560331685062), (31, 3, 0.8250533365614588), (32, 2, 0.9193041154656243), (33, 2, 0.7287662321846022), (34, 1, 0.9080307825811376), (35, 2, 0.41338339196297746), (36, 3, 0.8302010861015224), (37, 1, 0.1124924351818073), (38, 3, 0.9195693096801979), (39, 2, 0.4781593079450944), (40, 2, 0.32686774543446206), (41, 2, 0.34936968307909444), (42, 3, 0.03603175268154324), (43, 3, 0.6631129815627845), (44, 1, 0.809010975953832), (45, 3, 0.9796135430355042), (46, 3, 0.3567500599336817), (47, 1, 0.07603535964494368), (48, 1, 0.5493415268756017), (49, 3, 0.9000487960115416)]","[1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 1, 0, 1, 0, 1, 1, 1, 1, 0, 1, 1]",25,17,23,22,18,20,9
"[(0, 3, 0.48649372050680795), (1, 2, 0.8408455276344543), (2, 3, 0.33069620951590883), (3, 3, 0.3550925303884719), (4, 1, 0.13506026368217916), (5, 3, 0.2676319515996429), (6, 1, 0.18960051119905563), (7, 2, 0.31445360363072694), (8, 3, 0.2316029242189186), (9, 3, 0.535052957802689), (10, 3, 0.8175154512699362), (11, 2, 0.5870300444385868), (12, 3, 0.6581629463784926), (13, 2, 0.4540958707649636), (14, 2, 0.8861869335067584), (15, 1, 0.2333862307720439), (16, 2, 0.9962984937639283), (17, 2, 0.1456857537981635), (18, 3, 0.058281125141496526), (19, 3, 0.21242593634449092), (20, 3, 0.7054452660676445), (21, 3, 0.1543828311548251), (22, 3, 0.3460541505458137), (23, 1, 0.2246264113001517), (24, 1, 0.016086171579835717), (25, 2, 0.03457670996337292), (26, 2, 0.2816077334326721), (27, 3, 0.7275209044136257), (28, 3, 0.6453348647400216), (29, 2, 0.4813559785593299), (30, 1, 0.13088502805912738), (31, 3, 0.8797761440477377), (32, 3, 0.6414381589774848), (33, 2, 0.03315039958608923), (34, 1, 0.7725680808806876), (35, 2, 0.9279508207699801), (36, 1, 0.22344176993836362), (37, 1, 0.4698988491438221), (38, 3, 0.46192179212557505), (39, 3, 0.5140241234953604), (40, 1, 0.2628291485308002), (41, 2, 0.8189385293960785), (42, 3, 0.1097340049423654), (43, 1, 0.406104929457933), (44, 2, 0.934643847697924), (45, 2, 0.3193047360308702), (46, 3, 0.12635861066104226), (47, 2, 0.045954432485778574), (48, 1, 0.641084594365265), (49, 2, 0.3003936773629028)]","[1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0]",20,15,16,22,20,16,7
"[(0, 2, 0.95708345230672), (1, 2, 0.7788065536678412), (2, 1, 0.5189943853325619), (3, 3, 0.6669495868205517), (4, 2, 0.3363720292059861), (5, 2, 0.3251147862092797), (6, 1, 0.2918051414360432), (7, 3, 0.49037041212100785), (8, 3, 0.010683104691827428), (9, 1, 0.45459412287587264), (10, 3, 0.06134020937841789), (11, 1, 0.6657752572234336), (12, 3, 0.7016795505580112), (13, 2, 0.4691184345643721), (14, 2, 0.6175932333221846), (15, 3, 0.49521550453705965), (16, 2, 0.5533032802313139), (17, 2, 0.6444352546226859), (18, 3, 0.5778332697664964), (19, 3, 0.3511583675361305), (20, 2, 0.43712381265741707), (21, 2, 0.3459623867469702), (22, 3, 0.8377754712633704), (23, 1, 0.9835346975082008), (24, 2, 0.15506222250898527), (25, 1, 0.23898499941672335), (26, 3, 0.6066478720624064), (27, 3, 0.11554158334502551), (28, 1, 0.7039149154582752), (29, 1, 0.5050898223884946), (30, 3, 0.7886525658975432), (31, 3, 0.19623843646800898), (32, 2, 0.1705060021660677), (33, 3, 0.47825279055934744), (34, 3, 0.6931240168036855), (35, 1, 0.1579263042455964), (36, 2, 0.7426350347757011), (37, 1, 0.7390481627544068), (38, 1, 0.6190775407577264), (39, 1, 0.4484397549531133), (40, 3, 0.9817948839687144), (41, 3, 0.6253918534036367), (42, 2, 0.35634588232612097), (43, 3, 0.426771437764104), (44, 1, 0.786540049353193), (45, 1, 0.4005383594394566), (46, 1, 0.5683943818342584), (47, 2, 0.7913401084654835), (48, 1, 0.4082488651170927), (49, 2, 0.40064779100792314)]","[1, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 0, 1, 1, 1, 0, 1, 1, 0, 0, 1, 1, 1]",20,21,22,13,20,16,8
"[(0, 3, 0.2763900968575487), (1, 1, 0.9626458092447963), (2, 1, 0.7298787957986017), (3, 3, 0.6792254169083357), (4, 2, 0.17815131522294747), (5, 2, 0.7153366707751607), (6, 2, 0.7129831644047941), (7, 2, 0.6082205806979718), (8, 2, 0.23370669848832615), (9, 1, 0.8096885852363936), (10, 3, 0.9625417386037435), (11, 2, 0.022221232968630433), (12, 1, 0.3454046785485676), (13, 2, 0.5304510618411539), (14, 3, 0.5210374154161477), (15, 1, 0.7852840986698515), (16, 1, 0.027347860786771205), (17, 1, 0.4028044231871848), (18, 1, 0.5925043459234215), (19, 2, 0.3267707131169054), (20, 1, 0.5998252981841047), (21, 1, 0.5655029622964383), (22, 2, 0.056328833995923255), (23, 2, 0.9941295012917701), (24, 2, 0.022966056793348955), (25, 3, 0.5481883186648903), (26, 3, 0.12350068621664179), (27, 1, 0.5007557146503109), (28, 3, 0.6828561543066951), (29, 2, 0.8550968035434541), (30, 3, 0.24011149180286973), (31, 3, 0.6373534964004126), (32, 1, 0.4099011866099347), (33, 2, 0.7392084017607042), (34, 2, 0.8832437968312404), (35, 3, 0.693504307215259), (36, 2, 0.37012329459976423), (37, 1, 0.8829730311950481), (38, 1, 0.9710730733135527), (39, 1, 0.4795218689680726), (40, 1, 0.9443701384838828), (41, 2, 0.0405617245422254), (42, 3, 0.07708171593848179), (43, 2, 0.09751010865275955), (44, 2, 0.7743254306590353), (45, 3, 0.0601530825811033), (46, 2, 0.25261062509778553), (47, 1, 0.8073464377596493), (48, 2, 0.46711785884787127), (49, 3, 0.5739417312252857)]","[0, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 1, 1, 0, 0, 1, 0, 1, 1, 0, 1, 1, 0, 1, 1, 0, 0, 1, 0, 0, 1, 1, 1]",20,21,20,19,19,13,20
"[(0, 2, 0.1289389656032971), (1, 1, 0.32594064140937906), (2, 2, 0.556105675698322), (3, 2, 0.052558047796123164), (4, 2, 0.13538886302523534), (5, 1, 0.7949219868836841), (6, 1, 0.5712736105178685), (7, 2, 0.8812606123230723), (8, 3, 0.20373343858649418), (9, 2, 0.9769793255098765), (10, 3, 0.6664310318135508), (11, 3, 0.8505790382945262), (12, 1, 0.7277417641958362), (13, 3, 0.3752986646289921), (14, 3, 0.393350345091513), (15, 2, 0.32151956357081957), (16, 2, 0.9987631251110085), (17, 2, 0.6144917459224478), (18, 2, 0.9829929910949031), (19, 2, 0.7609211031129823), (20, 3, 0.3917812060888708), (21, 1, 0.4017801695513721), (22, 3, 0.8829473318666473), (23, 3, 0.3148639896735621), (24, 1, 0.5528711234162079), (25, 1, 0.09339777207327438), (26, 1, 0.505896211373047), (27, 1, 0.930782650930982), (28, 2, 0.13500471488755272), (29, 3, 0.10384781776336749), (30, 1, 0.590102520480677), (31, 2, 0.5290867466594801), (32, 2, 0.9126078468377599), (33, 3, 0.6116001810585641), (34, 2, 0.9842097881184667), (35, 2, 0.57974381783613), (36, 2, 0.577370823291235), (37, 3, 0.019981702651474698), (38, 1, 0.63306268947748), (39, 1, 0.9927829875954312), (40, 1, 0.4603409222945918), (41, 2, 0.18111481458416345), (42, 1, 0.540738727120313), (43, 3, 0.647153444569345), (44, 2, 0.04324709627605905), (45, 1, 0.7088663308135161), (46, 3, 0.18030316822240178), (47, 3, 0.3529639882964115), (48, 1, 0.3201216752763748), (49, 1, 0.9141084195893004)]","[0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 1, 0, 1, 0, 0, 0, 1, 1, 1, 0, 0, 1, 0, 1, 0, 0, 0, 1]",29,20,22,19,25,17,29
"[(0, 3, 0.718247966464909), (1, 2, 0.8581970996921107), (2, 3, 0.49912676781742615), (3, 1, 0.3247471135720099), (4, 1, 0.194355692702194), (5, 3, 0.40966021283044085), (6, 3, 0.7041342019766562), (7, 3, 0.40234274493067435), (8, 2, 0.19139448838324868), (9, 3, 0.2146474756098905), (10, 3, 0.019289004459141612), (11, 2, 0.10177385710445153), (12, 1, 0.2744880734101762), (13, 2, 0.7546537200047242), (14, 2, 0.4453043588505532), (15, 2, 0.38672093819393916), (16, 3, 0.2648487481643599), (17, 3, 0.3364544619741865), (18, 1, 0.6392763896015418), (19, 3, 0.852430398300964), (20, 2, 0.04572368816331984), (21, 2, 0.6294622912040585), (22, 3, 0.03087897668396733), (23, 1, 0.4503765310248483), (24, 1, 0.023418378016425323), (25, 3, 0.7824332166910435), (26, 2, 0.290939016204242), (27, 2, 0.2487250369964925), (28, 3, 0.4753123885807482), (29, 2, 0.43763986507899577), (30, 1, 0.8259540825406444), (31, 1, 0.4241057119555782), (32, 2, 0.025981123434455466), (33, 2, 0.8034039552249981), (34, 2, 0.18496618270667686), (35, 3, 0.9677122534326754), (36, 1, 0.9028718671774972), (37, 3, 0.4110150310104518), (38, 2, 0.7356986173569073), (39, 2, 0.9753947272729727), (40, 2, 0.09367261467538934), (41, 2, 0.9242091849038768), (42, 3, 0.557500193674108), (43, 1, 0.7081523422409294), (44, 2, 0.7002129480712814), (45, 3, 0.6603459526422367), (46, 2, 0.7041377279346289), (47, 3, 0.6546698489706957), (48, 2, 0.8715458728615874), (49, 2, 0.43651530812652284)]","[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 1, 1, 1, 0, 1]",0,6,0,6,0,0,0
"[(0, 2, 0.045936670255228074), (1, 2, 0.9168456946590273), (2, 1, 0.1595275586380227), (3, 1, 0.05968188983319922), (4, 2, 0.3081639032365977), (5, 3, 0.48671881757501645), (6, 2, 0.05481833257165325), (7, 2, 0.4588411089661555), (8, 2, 0.03234106405710213), (9, 2, 0.7442174854921586), (10, 2, 0.5135120689639944), (11, 2, 0.016194596144967544), (12, 3, 0.3044163341995252), (13, 3, 0.6183546312346382), (14, 2, 0.3716696918606741), (15, 3, 0.7577639469136219), (16, 3, 0.08867325437158569), (17, 2, 0.869432500154533), (18, 1, 0.4534817805450636), (19, 1, 0.471622207784712), (20, 1, 0.8816791928717475), (21, 3, 0.6290889631747789), (22, 3, 0.2886315705821345), (23, 2, 0.33722839231938084), (24, 2, 0.6861765120370573), (25, 2, 0.6265290909337228), (26, 3, 0.8288567023059964), (27, 3, 0.5948405888888534), (28, 3, 0.2766766721037286), (29, 1, 0.5234222666542735), (30, 1, 0.24765158397472697), (31, 1, 0.5024042317455772), (32, 1, 0.35140743930304774), (33, 2, 0.6516443122938569), (34, 2, 0.5862117450841793), (35, 3, 0.8099114215539757), (36, 1, 0.24492646932363238), (37, 3, 0.06777628456617446), (38, 2, 0.04585404623579947), (39, 1, 0.981719711508822), (40, 2, 0.5448857422298344), (41, 1, 0.877460720027568), (42, 2, 0.39042671026300946), (43, 2, 0.619207378861374), (44, 2, 0.31040308360343805), (45, 3, 0.7284618669026482), (46, 3, 0.5802411166504241), (47, 1, 0.7176156910918238), (48, 1, 0.731879517910864), (49, 1, 0.7179488424529427)]","[0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 1, 0, 1, 0, 1, 1, 0, 0, 1, 1, 1, 1, 0, 0, 1, 0, 1, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 1, 1, 1]",20,17,20,12,14,16,20
"[(0, 2, 0.3676800049643587), (1, 2, 0.8656727960327172), (2, 2, 0.08164310037913314), (3, 3, 0.2867702706310964), (4, 1, 0.03547917227246422), (5, 1, 0.7060395160113729), (6, 3, 0.7139012200793668), (7, 3, 0.379190234293861), (8, 2, 0.7587760843293055), (9, 1, 0.0397814610542373), (10, 2, 0.4915221198866496), (11, 3, 0.4587824161886206), (12, 3, 0.07205710884428818), (13, 1, 0.2737494926634928), (14, 2, 0.9407159494478256), (15, 1, 0.09177189269353137), (16, 2, 0.12318211698683224), (17, 1, 0.31682844979484215), (18, 2, 0.3790511321861576), (19, 1, 0.9783469836752022), (20, 1, 0.15224336652926818), (21, 3, 0.43447233823893017), (22, 2, 0.8607489230325016), (23, 1, 0.5128233128188042), (24, 2, 0.8501665217260312), (25, 2, 0.637543101042882), (26, 1, 0.9374283082492032), (27, 2, 0.4535211998132386), (28, 1, 0.15530990323667926), (29, 3, 0.7273013314321921), (30, 1, 0.7906452347155027), (31, 2, 0.37514265015931003), (32, 3, 0.7724685501154689), (33, 1, 0.3470745941922836), (34, 3, 0.9006400436749377), (35, 1, 0.05696903527650332), (36, 1, 0.9309012957268948), (37, 3, 0.7729155705502094), (38, 2, 0.3834900315678299), (39, 3, 0.29646850009343884), (40, 1, 0.8213259192702507), (41, 3, 0.8914767272485048), (42, 1, 0.4668233099574137), (43, 3, 0.5611240671426077), (44, 2, 0.49632527718830577), (45, 3, 0.9760743078775681), (46, 3, 0.6808277919292929), (47, 1, 0.37793686627232037), (48, 2, 0.7245832762889662), (49, 1, 0.29252095382782883)]","[0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 1, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 1, 1, 1, 1, 0, 1, 0]",6,5,10,5,8,16,8
