n,budget,pool_cap,method,instances,mean_realized_welfare,se_realized_welfare,paired_comparisons_valid
50,5,5,static_milp,10000,20.58130000,0.07988089,false
50,5,5,gibbs_marginal_greedy,10000,21.14930000,0.08917722,false
50,5,5,ppo_4,10000,18.84670000,0.07477272,false
50,5,5,ppo_4_plus,10000,18.94550000,0.07245411,false
50,5,5,ppo_5,10000,18.60320000,0.07063394,false
50,5,5,ppo_5_plus,10000,19.12160000,0.07211242,false
50,5,3,static_milp,10000,20.26330000,0.07341510,false
50,5,3,gibbs_marginal_greedy,10000,20.51520000,0.07421002,false
50,5,3,ppo_4,10000,16.92490000,0.05230564,false
50,5,3,ppo_4_plus,10000,16.92240000,0.05360023,false
50,5,3,ppo_5,10000,17.28340000,0.05447298,false
50,5,3,ppo_5_plus,10000,17.29940000,0.05403303,false
