n,budget,pool_cap,optimal_dynamic,optimal_static,optimal_static_nonoverlap,static_nonoverlap_greedy,exact_joint_greedy,marginal_product_greedy,adaptivity_gap,static_fraction_dynamic,static_nonoverlap_fraction_dynamic,static_greedy_fraction_dynamic,exact_joint_fraction_dynamic,marginal_product_fraction_dynamic,exact_minus_marginal,root_choices_differ,dynamic_states,exact_greedy_states,marginal_greedy_states,runtime_seconds,setting,instance,seed,utilities,health_probabilities
4,2,4,0.8469550063279256,0.8469550063279256,0.8469550063279256,0.8469550063279256,0.8469550063279256,0.8469550063279256,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0,162,7,7,0.0006335829384624958,random_n4_b2_g4,0,20260830,"(1.5203395409840648, 0.5051251134525029, 0.5882924884155655, 1.047487008478178)","(0.09968588340473931, 0.254603191591068, 0.14400117770922544, 0.6638732609391216)"
4,2,4,2.1175037471405083,2.1175037471405083,2.1175037471405083,2.004194301923045,2.1048119679038093,2.1048119679038093,1.0,1.0,1.0,0.9464891406352989,0.9940062541783748,0.9940062541783748,0.0,0,162,7,7,0.0005789161659777164,random_n4_b2_g4,1,20260830,"(0.18661265529414595, 1.7148404294477322, 0.5271938766502352, 0.4778564549466306)","(0.3059521659340475, 0.8527377388309819, 0.7602023493664165, 0.8575378315616103)"
4,2,4,1.63794881184085,1.6303522726231288,1.6303522726231288,1.5124667641240876,1.63794881184085,1.63794881184085,1.004659446516733,0.9953621632356241,0.9953621632356241,0.9233907391918211,1.0,1.0,0.0,0,162,7,7,0.000545416958630085,random_n4_b2_g4,2,20260830,"(1.264938095026344, 0.2529501134779306, 0.7403368164992012, 0.16371093936970482)","(0.7542574655780674, 0.5173912935745028, 0.9134535199170924, 0.5836933713931647)"
4,2,4,1.5934972863481103,1.5380773370130632,1.5380773370130634,1.3978617479907907,1.5934972863481103,1.5934972863481103,1.0360319653644154,0.965221183738533,0.9652211837385332,0.877228822393751,1.0,1.0,0.0,0,162,7,7,0.0006172917783260345,random_n4_b2_g4,3,20260830,"(0.20920421569980432, 0.2633345988749398, 1.261110731180243, 0.24861331691359248)","(0.6505807349666523, 0.8885545586539425, 0.8978795014981161, 0.8919708122360714)"
4,2,4,0.5176919994047992,0.5176919994047992,0.5176919994047992,0.5176919994047992,0.5176919994047992,0.5176919994047992,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0,162,7,7,0.0005233753472566605,random_n4_b2_g4,4,20260830,"(0.20258876897341835, 0.30992619448887804, 1.2272784885083536, 1.383216147503176)","(0.3605683353724294, 0.7203549829085124, 0.09663533723739717, 0.21286269785264134)"
4,2,4,0.41986528481917473,0.41986528481917473,0.41986528481917473,0.41986528481917473,0.4198652848191747,0.4198652848191747,1.0,1.0,1.0,1.0,0.9999999999999999,0.9999999999999999,0.0,0,162,7,7,0.0005275420844554901,random_n4_b2_g4,5,20260830,"(0.12416898551521337, 0.24395630054510456, 0.4614965655892312, 0.4046158293132117)","(0.2773980725102722, 0.1683183244922495, 0.41030618866216606, 0.5697018534911066)"
4,2,4,0.5308344403088961,0.5308344403088961,0.5308344403088961,0.5308344403088961,0.5308344403088963,0.5308344403088963,1.0,1.0,1.0,1.0,1.0000000000000002,1.0000000000000002,0.0,0,162,7,7,0.0005238340236246586,random_n4_b2_g4,6,20260830,"(0.24244654975213675, 0.16535214531989628, 0.5611323794312711, 0.13868392430030224)","(0.5426541776468705, 0.16695464627356815, 0.7115429831985535, 0.28125210162968134)"
4,2,4,0.9266170415681338,0.9266170415681336,0.9266170415681336,0.9266170415681336,0.9266170415681338,0.9266170415681338,1.0000000000000002,0.9999999999999998,0.9999999999999998,0.9999999999999998,1.0,1.0,0.0,0,162,7,7,0.0005309158004820347,random_n4_b2_g4,7,20260830,"(0.11016251027697344, 1.3133652097134396, 0.15356246942650595, 0.7847703305688578)","(0.8370117231679931, 0.5717136002721211, 0.7961745616074724, 0.08340664668756373)"
4,2,4,1.4334519127384993,1.4334519127384993,1.4334519127384993,1.2969803523565808,1.4171931755149203,1.4171931755149203,1.0,1.0,1.0,0.9047951597335414,0.9886576333122205,0.9886576333122205,0.0,0,162,7,7,0.0005284161306917667,random_n4_b2_g4,8,20260830,"(0.5524552041286206, 1.3132467278849869, 0.6432260753911135, 0.9422734305660447)","(0.8148092278161156, 0.7487597673615376, 0.061040411704526454, 0.1684462014635983)"
4,2,4,1.5877801449302589,1.5877801449302587,1.5877801449302587,1.297590980878451,1.494801531492996,1.494801531492996,1.0000000000000002,0.9999999999999999,0.9999999999999999,0.8172359284260012,0.941441128525167,0.941441128525167,0.0,0,162,7,7,0.0005243332125246525,random_n4_b2_g4,9,20260830,"(0.5491060198972956, 0.3086781944826205, 0.12770905334278793, 1.7150139650101115)","(0.7913622418299762, 0.18208476873132617, 0.72633715542683, 0.6724367250357638)"
4,2,4,0.6576173625655761,0.6576173625655762,0.6576173625655762,0.6576173625655762,0.6576173625655761,0.6576173625655761,0.9999999999999998,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0,1.0,0.0,0,162,7,7,0.0005936659872531891,random_n4_b2_g4,10,20260830,"(1.3862450933849149, 0.10649708128293951, 0.21010224224691337, 0.2247024892464087)","(0.35663316290363556, 0.8813496087249495, 0.24456141218898558, 0.5592152440563833)"
4,2,4,0.640681896970362,0.640681896970362,0.640681896970362,0.640681896970362,0.640681896970362,0.640681896970362,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0,162,7,7,0.0005259579047560692,random_n4_b2_g4,11,20260830,"(0.6335713468323557, 1.659585082469168, 0.12728191440939599, 0.10492257656434706)","(0.40008896148971634, 0.2326356093160699, 0.836385644024251, 0.7614995522866278)"
4,2,4,0.5847542312124803,0.5781941276881538,0.5781941276881538,0.5160139419964506,0.5847542312124803,0.5847542312124803,1.011345849447756,0.9887814347050997,0.9887814347050997,0.882445845541814,1.0,1.0,0.0,0,162,7,7,0.0005203746259212494,random_n4_b2_g4,12,20260830,"(0.15888978719164026, 0.11354652868293762, 0.3850298074617557, 0.3515107761654578)","(0.41841801794926625, 0.6146712074784736, 0.8557911646201047, 0.7074861916322707)"
4,2,4,2.403310450334865,2.4033104503348652,2.403310450334865,2.403310450334865,2.4033104503348657,2.4033104503348657,0.9999999999999998,1.0000000000000002,1.0,1.0,1.0000000000000004,1.0000000000000004,0.0,0,162,7,7,0.0005430001765489578,random_n4_b2_g4,13,20260830,"(0.27278857803678025, 0.9078608154169487, 1.5905712663112306, 0.9481680898901019)","(0.8819752841308818, 0.7236290608423497, 0.775462537369008, 0.8380125003068624)"
4,2,4,1.5825837578904456,1.5635029509181275,1.5635029509181275,1.5635029509181275,1.5635029509181273,1.5635029509181273,1.012203882929107,0.9879432561612079,0.9879432561612079,0.9879432561612079,0.9879432561612078,0.9879432561612078,0.0,0,162,7,7,0.0005182917229831219,random_n4_b2_g4,14,20260830,"(0.40187760951388757, 1.6200236026220827, 0.2497736730575901, 0.2513668302875699)","(0.5796215722337528, 0.8213250824818624, 0.5104909947680878, 0.20631280068073216)"
4,2,4,0.8552202682632114,0.8299998342895711,0.7896656754839289,0.7734514395603604,0.8552202682632114,0.8552202682632114,1.0303860710950954,0.9705100137244664,0.9233477091084249,0.9043885748066895,1.0,1.0,0.0,0,162,7,7,0.0005047498270869255,random_n4_b2_g4,15,20260830,"(0.11244873733560275, 0.5973279210021334, 0.4633686503346543, 0.48071718793776397)","(0.8038024157329112, 0.8311674684967875, 0.4898155491568158, 0.6098931905885877)"
4,2,4,0.634985237243745,0.626129719284752,0.6202743923333562,0.6108146388522897,0.634985237243745,0.634985237243745,1.0141432640653265,0.9860539782036009,0.9768327765000592,0.9619351805777854,1.0,1.0,0.0,0,162,7,7,0.000506250187754631,random_n4_b2_g4,16,20260830,"(0.5919737265883241, 0.24454372706249256, 0.27115477872612975, 0.23954678167528906)","(0.6915250086746894, 0.4274851853207153, 0.37702990748434356, 0.880453306215026)"
4,2,4,1.3879484981651276,1.3879484981651273,1.3879484981651273,1.2567054984548618,1.338414851139182,1.338414851139182,1.0000000000000002,0.9999999999999999,0.9999999999999999,0.9054410160868581,0.9643116101992046,0.9643116101992046,0.0,0,162,7,7,0.0004953332245349884,random_n4_b2_g4,17,20260830,"(0.6731331687041651, 0.9337785865080027, 0.18401600768316667, 0.26658619300811204)","(0.8434009205588474, 0.758611116250269, 0.34891798476119007, 0.8574411180208785)"
4,2,4,0.41226850385795555,0.41226850385795555,0.41226850385795555,0.40596798155003766,0.40596798155003766,0.40596798155003766,1.0,1.0,1.0,0.9847174299056115,0.9847174299056115,0.9847174299056115,0.0,0,162,7,7,0.0004962082020938396,random_n4_b2_g4,18,20260830,"(0.22342875713756202, 0.3316905814704537, 0.298289715260852, 0.16122962471542876)","(0.6500829878285155, 0.22641587589094764, 0.734829804495446, 0.772120414922608)"
